date,snowfall_cm,slr,temp_max,temp_min,humidity_avg
2012-11-01,4.47,8.7,0.4,-0.9,100.0
2012-11-02,4.27,8.5,1.0,-1.0,100.0
2012-11-03,0.00,0,-0.5,-2.4,99.9
2012-11-04,0.00,0,-1.1,-4.9,97.6
2012-11-05,0.00,0,-1.4,-4.4,91.0
2012-11-06,0.08,15.4,-2.2,-5.3,81.8
2012-11-07,0.00,0,-2.8,-6.3,80.3
2012-11-08,0.00,0,-3.3,-8.4,82.0
2012-11-09,3.72,12.6,-0.2,-7.9,91.4
2012-11-10,-1,-1,1.3,0.0,100.0
2012-11-11,5.30,7.9,0.8,-2.8,99.6
2012-11-12,0.00,0,0.0,-4.5,89.0
2012-11-13,0.20,7.9,2.3,-3.8,86.5
2012-11-14,0.00,0,3.2,0.2,87.1
2012-11-15,0.00,0,1.5,-2.4,83.4
2012-11-16,0.00,0,1.9,-0.7,82.5
2012-11-17,0.43,9.6,1.9,-1.7,96.3
2012-11-18,0.08,12.8,-0.6,-4.4,88.1
2012-11-19,2.82,9.4,0.3,-4.2,92.1
2012-11-20,-1,-1,3.2,0.6,95.5
2012-11-21,-1,-1,3.9,0.7,99.5
2012-11-22,0.29,7.6,1.8,-0.4,99.1
2012-11-23,0.16,8.4,2.9,-0.4,95.3
2012-11-24,0.08,8.4,-0.3,-2.1,92.4
2012-11-25,1.04,13.0,0.1,-5.9,91.0
2012-11-26,1.69,11.4,-2.9,-4.3,98.7
2012-11-27,3.94,12.4,-2.8,-4.8,98.4
2012-11-28,2.97,17.3,-4.9,-11.3,93.7
2012-11-29,5.87,20.9,-9.7,-11.2,92.4
2012-11-30,4.16,22.9,-10.7,-13.5,90.8
2012-12-01,4.38,26.9,-14.1,-18.0,87.8
2012-12-02,0.54,28.8,-16.6,-18.3,86.6
2012-12-03,0.99,27.2,-14.2,-18.5,87.5
2012-12-04,4.45,29.0,-15.9,-18.9,86.6
2012-12-05,1.29,26.0,-12.8,-18.5,87.5
2012-12-06,8.47,24.6,-9.7,-17.7,89.3
