date,snowfall_cm,slr,temp_max,temp_min,humidity_avg
2001-11-01,0.00,0,-3.1,-5.8,79.7
2001-11-02,-1,-1,3.4,-2.9,88.8
2001-11-03,0.16,9.9,2.9,-0.9,76.0
2001-11-04,0.00,0,-1.1,-4.9,79.0
2001-11-05,0.27,12.6,-2.3,-4.9,74.0
2001-11-06,0.00,0,-3.3,-7.2,78.0
2001-11-07,13.97,16.7,-5.2,-7.5,87.8
2001-11-08,1.13,16.6,-6.8,-10.4,88.9
2001-11-09,0.11,16.0,-3.5,-8.9,84.9
2001-11-10,2.93,10.6,1.0,-4.2,90.5
2001-11-11,0.55,13.6,-2.3,-5.3,81.2
2001-11-12,0.00,0,-2.6,-5.6,81.8
2001-11-13,0.13,17.7,-3.6,-8.8,80.5
2001-11-14,6.26,13.1,1.2,-8.6,91.8
2001-11-15,0.32,10.0,0.9,-4.8,79.1
2001-11-16,0.10,12.1,2.9,-5.1,83.1
2001-11-17,0.00,0,1.7,-0.4,75.7
2001-11-18,1.96,9.2,0.3,-4.0,86.5
2001-11-19,0.28,11.6,2.8,-2.9,86.0
2001-11-20,0.00,0,0.3,-4.6,88.7
2001-11-21,0.07,9.1,-0.2,-4.6,89.7
2001-11-22,0.00,0,-2.7,-5.5,79.6
2001-11-23,0.00,0,-4.6,-7.7,83.8
2001-11-24,0.12,13.6,1.8,-6.2,85.5
2001-11-25,1.54,10.6,-0.7,-4.5,96.5
2001-11-26,2.22,10.3,-1.3,-3.8,96.8
2001-11-27,1.13,12.7,-2.9,-6.5,95.2
2001-11-28,2.63,12.9,-3.6,-4.5,95.5
2001-11-29,5.86,12.4,-3.5,-3.9,96.0
2001-11-30,7.54,12.5,-3.5,-4.2,95.8
2001-12-01,4.84,12.5,-3.2,-4.6,95.6
2001-12-02,0.11,10.6,-1.7,-3.5,96.1
2001-12-03,0.00,0,-2.0,-4.1,96.0
2001-12-04,0.53,13.1,-3.6,-6.0,95.5
2001-12-05,7.32,15.3,-5.6,-6.1,94.0
2001-12-06,0.88,14.8,-3.5,-6.1,95.0
2001-12-07,0.00,0,-4.4,-7.5,94.4
2001-12-08,0.00,0,0.0,-3.8,95.1
2001-12-09,-1,-1,3.9,-2.3,93.0
2001-12-10,0.00,0,3.4,0.8,80.5
2001-12-11,0.00,0,1.5,-2.2,87.1
2001-12-12,0.00,0,4.8,-0.6,64.8
2001-12-13,0.00,0,2.5,-0.8,81.5
2001-12-14,0.00,0,1.7,-1.0,91.2
2001-12-15,0.00,0,0.3,-2.8,83.6
2001-12-16,0.00,0,3.0,-1.1,80.9
2001-12-17,0.89,9.0,1.5,-1.0,88.7
2001-12-18,0.63,9.8,0.8,-5.3,85.9
2001-12-19,0.60,20.1,-6.5,-15.5,75.6
2001-12-20,4.72,23.3,-9.5,-13.9,87.5
2001-12-21,1.68,25.2,-12.2,-18.8,87.0
2001-12-22,0.00,0,-13.3,-18.6,86.3
2001-12-23,0.48,24.0,-9.9,-14.1,88.3
2001-12-24,1.30,22.5,-9.8,-13.6,89.5
2001-12-25,1.50,21.5,-9.8,-12.3,90.2
2001-12-26,0.00,0,-12.3,-13.7,88.7
2001-12-27,0.00,0,-12.2,-15.1,88.3
2001-12-28,3.34,29.2,-15.5,-18.3,85.8
2001-12-29,0.00,0,-17.7,-21.2,83.1
2001-12-30,0.00,0,-16.1,-19.9,84.8
2001-12-31,1.52,24.6,-11.0,-19.0,86.4
2002-01-01,0.74,23.0,-6.5,-17.7,88.7
2002-01-02,0.00,0,-4.3,-13.7,76.5
2002-01-03,0.67,10.2,-0.4,-6.1,71.0
2002-01-04,0.81,8.8,3.8,-0.8,55.1
2002-01-05,0.14,8.4,2.7,-4.1,42.7
2002-01-06,0.33,7.8,1.5,-2.4,85.9
2002-01-07,0.00,0,3.2,0.6,64.9
2002-01-08,0.00,0,2.6,-2.4,74.5
2002-01-09,0.00,0,-1.6,-5.6,63.8
2002-01-10,0.00,0,2.2,-0.8,72.8
2002-01-11,0.00,0,2.1,-0.7,63.9
2002-01-12,-1,-1,2.5,0.4,81.1
2002-01-13,0.43,7.7,3.7,0.5,82.0
2002-01-14,0.00,0,0.9,-2.6,86.0
2002-01-15,0.43,8.9,0.9,-1.0,92.3
2002-01-16,0.14,12.1,-0.9,-4.8,86.6
2002-01-17,4.57,12.4,-2.3,-4.8,90.4
2002-01-18,4.35,9.5,-0.9,-3.3,96.5
2002-01-19,7.42,15.5,-2.6,-6.8,94.5
