date,snowfall_cm,slr,temp_max,temp_min,humidity_avg
1996-11-01,3.03,10.0,-0.6,-5.3,90.0
1996-11-02,0.32,10.1,2.6,-2.5,95.1
1996-11-03,5.45,9.4,-0.3,-4.3,97.2
1996-11-04,12.19,13.7,-2.1,-5.3,92.8
1996-11-05,1.69,8.2,0.4,-1.7,97.6
1996-11-06,2.33,10.6,-1.0,-4.2,95.9
1996-11-07,0.00,0,-2.8,-6.0,85.3
1996-11-08,0.00,0,-4.4,-7.3,73.4
1996-11-09,0.00,0,-4.4,-8.1,73.6
1996-11-10,0.00,0,-5.9,-9.8,70.5
1996-11-11,0.00,0,-6.6,-9.9,80.8
1996-11-12,4.67,18.3,-6.1,-9.2,87.6
1996-11-13,0.78,19.9,-5.5,-9.5,87.5
1996-11-14,0.00,0,1.7,-5.3,72.1
1996-11-15,0.64,9.1,0.9,-1.7,85.0
1996-11-16,0.00,0,2.0,-2.7,85.6
1996-11-17,0.14,9.5,2.7,-6.3,80.3
1996-11-18,8.55,15.8,-5.7,-6.9,90.3
1996-11-19,15.25,15.5,-5.2,-8.4,91.5
1996-11-20,4.50,17.7,-6.2,-8.5,91.1
1996-11-21,11.60,18.3,-6.6,-9.4,90.3
1996-11-22,3.81,13.3,-2.9,-6.4,93.5
1996-11-23,1.65,11.7,-2.6,-8.1,92.7
1996-11-24,0.00,0,-6.3,-9.9,86.1
1996-11-25,5.73,20.0,-8.2,-12.0,87.9
1996-11-26,0.00,0,-8.2,-11.8,80.7
1996-11-27,0.00,0,-6.2,-8.9,66.8
1996-11-28,2.58,25.6,-9.3,-14.8,86.4
1996-11-29,4.84,24.3,-8.0,-14.0,87.2
1996-11-30,0.00,0,-8.2,-11.2,88.7
1996-12-01,0.47,15.9,-5.3,-9.3,91.0
1996-12-02,9.16,13.3,-3.6,-5.5,94.2
1996-12-03,1.66,11.1,-1.5,-3.9,96.1
1996-12-04,3.86,10.7,-1.3,-2.5,96.2
1996-12-05,0.93,9.3,-0.7,-5.6,95.9
1996-12-06,0.00,0,-4.3,-7.8,92.5
1996-12-07,0.00,0,-3.3,-8.8,87.0
1996-12-08,0.29,9.6,5.0,-2.6,87.4
1996-12-09,-1,-1,5.1,2.6,87.7
1996-12-10,-1,-1,2.7,1.1,91.5
1996-12-11,0.77,8.9,0.9,-1.1,97.8
1996-12-12,4.62,19.9,-1.2,-15.7,90.1
1996-12-13,0.45,27.7,-15.6,-19.5,83.0
1996-12-14,0.00,0,-13.6,-19.4,68.3
1996-12-15,0.00,0,-7.4,-15.0,70.7
1996-12-16,0.00,0,-7.2,-10.1,73.0
1996-12-17,0.00,0,-9.7,-12.9,69.6
1996-12-18,0.00,0,-10.1,-13.4,65.3
1996-12-19,0.00,0,-11.2,-14.8,67.0
1996-12-20,1.72,17.9,-6.5,-11.1,84.2
1996-12-21,0.19,21.4,-6.6,-11.9,79.1
1996-12-22,1.47,21.4,-9.4,-12.2,87.3
1996-12-23,2.36,16.6,-3.3,-10.0,90.0
1996-12-24,0.87,28.9,-10.1,-16.9,81.1
1996-12-25,0.75,21.2,-4.5,-14.9,81.3
1996-12-26,0.00,0,-3.1,-5.6,74.9
1996-12-27,0.49,12.7,-3.3,-5.1,84.0
1996-12-28,0.74,12.7,-0.6,-6.3,82.7
1996-12-29,1.40,23.6,-7.1,-13.0,87.6
1996-12-30,2.31,25.7,-9.3,-15.3,81.1
1996-12-31,0.00,0,-3.4,-7.5,63.2
1997-01-01,0.47,15.4,-5.2,-11.5,81.8
1997-01-02,0.00,0,-6.5,-10.5,79.6
1997-01-03,0.00,0,-3.5,-5.5,79.8
1997-01-04,0.00,0,-2.1,-4.1,79.7
1997-01-05,0.86,15.8,-3.7,-6.8,84.5
1997-01-06,0.00,0,-1.6,-8.0,80.1
1997-01-07,0.00,0,-2.4,-5.3,80.0
1997-01-08,0.67,20.3,-4.2,-13.4,86.9
1997-01-09,0.30,20.9,-6.7,-11.5,78.1
1997-01-10,0.00,0,-10.3,-12.5,72.2
1997-01-11,0.64,24.4,-10.9,-13.9,68.3
1997-01-12,3.04,19.9,-0.8,-12.9,87.0
1997-01-13,0.11,9.0,1.6,-2.0,82.0
1997-01-14,0.11,8.0,2.2,-2.0,77.8
1997-01-15,0.00,0,2.5,-2.0,71.3
1997-01-16,0.00,0,2.5,-2.4,76.6
1997-01-17,0.00,0,-2.1,-6.2,90.0
1997-01-18,0.16,12.3,-0.5,-3.5,83.4
1997-01-19,0.19,11.7,-0.7,-7.4,86.4
1997-01-20,0.00,0,-0.7,-7.6,75.1
1997-01-21,0.00,0,3.4,-0.9,57.0
1997-01-22,0.27,13.7,1.9,-1.8,56.3
1997-01-23,0.19,12.5,-1.7,-6.4,75.6
1997-01-24,0.00,0,-3.9,-6.8,47.9
1997-01-25,0.00,0,0.4,-6.1,56.8
1997-01-26,0.00,0,1.5,-5.6,61.9
1997-01-27,1.21,17.2,-2.2,-8.6,81.9
1997-01-28,0.32,16.2,0.3,-7.6,76.7
1997-01-29,0.00,0,3.1,0.0,76.3
1997-01-30,0.63,14.9,2.5,-7.9,74.5
1997-01-31,0.53,17.2,-5.5,-7.5,78.7
1997-02-01,0.00,0,-3.6,-6.3,77.0
1997-02-02,0.00,0,-5.8,-7.7,71.2
1997-02-03,1.08,13.1,-1.8,-6.8,76.6
1997-02-04,1.22,16.1,-1.1,-9.7,71.6
1997-02-05,0.00,0,-5.4,-9.4,73.8
1997-02-06,0.37,12.2,0.0,-7.4,77.5
1997-02-07,0.66,9.9,2.3,-4.9,67.4
1997-02-08,4.31,15.5,-0.8,-7.7,86.3
