date,snowfall_cm,slr,temp_max,temp_min,humidity_avg
2016-11-01,13.89,10.5,-2.3,-4.0,99.6
2016-11-02,0.00,0,-3.9,-5.7,97.6
2016-11-03,0.00,0,-5.2,-10.4,94.3
2016-11-04,0.00,0,-5.9,-7.9,95.9
2016-11-05,0.00,0,-7.6,-10.7,93.0
2016-11-06,0.00,0,-8.8,-13.4,90.6
2016-11-07,0.00,0,-11.1,-13.1,90.7
2016-11-08,0.00,0,-8.1,-11.5,92.0
2016-11-09,0.00,0,-8.0,-9.7,93.4
2016-11-10,0.00,0,-7.6,-11.3,93.0
2016-11-11,0.00,0,-1.7,-10.5,96.3
2016-11-12,0.00,0,-2.2,-6.7,89.9
2016-11-13,0.00,0,0.3,-3.5,95.8
2016-11-14,0.00,0,2.0,-4.8,99.0
2016-11-15,0.00,0,1.5,-1.3,88.6
2016-11-16,0.00,0,0.2,-2.8,94.7
2016-11-17,0.00,0,-2.0,-6.5,96.5
2016-11-18,0.00,0,-1.4,-4.0,99.8
2016-11-19,0.00,0,-2.3,-3.7,97.8
2016-11-20,0.00,0,-2.1,-3.2,98.8
2016-11-21,0.00,0,-1.3,-4.1,96.5
2016-11-22,-1,-1,2.5,-3.9,97.8
2016-11-23,-1,-1,1.9,-3.8,90.9
2016-11-24,0.17,11.0,-2.2,-4.2,87.8
2016-11-25,-1,-1,2.5,-2.9,95.8
2016-11-26,1.12,10.7,-0.7,-4.9,84.7
2016-11-27,0.00,0,-4.3,-7.4,75.5
2016-11-28,0.00,0,0.7,-4.2,80.1
2016-11-29,0.00,0,-0.9,-3.6,76.7
2016-11-30,0.00,0,-3.3,-5.7,83.6
2016-12-01,0.22,11.3,-1.7,-6.2,82.2
2016-12-02,1.49,13.6,-3.2,-5.2,86.6
2016-12-03,1.06,14.9,-1.3,-6.6,95.5
2016-12-04,0.00,0,2.9,-1.0,86.6
2016-12-05,0.00,0,-1.4,-5.2,81.8
2016-12-06,0.00,0,-3.1,-5.3,80.1
2016-12-07,-1,-1,2.9,-3.9,85.8
2016-12-08,-1,-1,4.2,2.0,92.0
2016-12-09,1.32,15.6,2.5,-6.8,92.6
2016-12-10,12.19,17.2,-6.9,-8.2,94.5
2016-12-11,1.27,18.4,-8.2,-11.0,92.8
2016-12-12,0.00,0,-1.0,-10.1,87.3
2016-12-13,1.44,9.6,-0.9,-3.5,89.0
2016-12-14,0.00,0,2.9,-3.4,39.7
2016-12-15,0.00,0,6.1,-1.1,52.5
2016-12-16,0.00,0,5.0,-0.5,78.3
2016-12-17,0.00,0,3.6,-1.9,83.1
2016-12-18,0.08,10.2,6.7,-1.8,88.0
2016-12-19,0.00,0,9.5,1.9,89.1
2016-12-20,0.00,0,1.7,-2.5,89.1
2016-12-21,0.00,0,-0.5,-3.4,86.4
2016-12-22,0.00,0,-1.3,-4.4,80.9
2016-12-23,4.05,10.2,-1.3,-5.5,82.5
2016-12-24,0.36,12.6,-1.2,-4.9,85.7
2016-12-25,0.18,11.2,0.1,-2.5,82.2
2016-12-26,0.17,12.9,-2.1,-5.3,77.6
2016-12-27,0.00,0,-2.9,-5.2,76.9
2016-12-28,0.00,0,2.2,-2.9,74.3
2016-12-29,0.00,0,3.1,0.3,74.7
2016-12-30,0.00,0,4.4,0.8,76.0
2016-12-31,0.67,13.8,0.2,-4.5,79.7
2017-01-01,0.89,11.9,-2.4,-7.2,87.6
2017-01-02,0.17,18.0,-7.6,-9.4,86.1
2017-01-03,21.32,20.3,-8.6,-11.5,92.0
2017-01-04,5.16,24.7,-11.7,-20.0,85.6
2017-01-05,0.00,0,-8.6,-16.6,82.7
2017-01-06,0.63,16.1,-3.4,-12.0,78.8
2017-01-07,0.00,0,-3.2,-5.3,80.2
2017-01-08,0.00,0,-0.8,-4.4,79.4
2017-01-09,0.00,0,0.7,-2.0,85.7
2017-01-10,1.15,11.1,-0.7,-3.7,96.5
2017-01-11,11.42,12.7,-1.7,-5.4,98.3
2017-01-12,0.12,13.3,-3.6,-6.3,79.4
2017-01-13,0.46,13.9,-3.4,-7.0,82.7
2017-01-14,0.66,15.7,-5.5,-9.9,81.6
2017-01-15,0.00,0,-3.8,-7.4,82.0
2017-01-16,0.00,0,-1.0,-7.5,78.4
2017-01-17,0.00,0,0.8,-3.3,87.6
2017-01-18,0.00,0,3.2,-1.2,79.8
2017-01-19,0.00,0,1.5,-3.8,80.2
2017-01-20,0.05,7.6,2.6,-0.8,85.3
2017-01-21,0.00,0,2.4,0.2,82.4
2017-01-22,0.00,0,0.7,-2.6,79.7
2017-01-23,0.00,0,-0.2,-3.4,81.2
2017-01-24,0.00,0,1.2,-5.5,78.0
2017-01-25,0.00,0,4.2,0.6,74.3
2017-01-26,0.00,0,7.4,3.7,51.7
2017-01-27,0.00,0,6.1,-1.8,45.7
2017-01-28,0.00,0,0.8,-3.7,67.1
2017-01-29,0.97,15.5,-0.5,-6.5,89.2
2017-01-30,0.00,0,-2.5,-6.6,83.1
2017-01-31,0.00,0,-2.2,-6.4,74.3
2017-02-01,0.26,16.2,-5.8,-8.4,84.7
2017-02-02,0.00,0,-3.2,-5.8,92.1
2017-02-03,0.43,14.5,-4.7,-6.2,97.1
2017-02-04,1.01,14.5,-4.9,-6.3,96.4
2017-02-05,2.41,13.5,-4.2,-6.2,97.4
2017-02-06,0.32,20.1,-6.6,-12.6,92.7
2017-02-07,0.21,22.4,-11.5,-16.2,88.3
2017-02-08,0.20,22.3,-9.4,-16.5,87.0
2017-02-09,0.00,0,-8.0,-17.9,62.0
2017-02-10,0.00,0,-7.7,-17.3,87.6
2017-02-11,0.00,0,-3.2,-8.6,76.5
2017-02-12,0.00,0,0.6,-6.6,66.0
2017-02-13,0.00,0,3.2,-0.6,67.9
2017-02-14,0.00,0,2.1,-3.7,87.9
2017-02-15,0.00,0,3.0,-3.4,54.0
2017-02-16,1.96,7.6,2.8,-0.6,93.1
2017-02-17,0.00,0,0.3,-2.6,80.4
2017-02-18,1.92,8.4,1.3,-0.8,87.0
2017-02-19,5.92,12.6,3.1,-4.4,85.9
2017-02-20,0.62,12.9,-2.5,-9.7,96.6
2017-02-21,1.25,15.5,-5.1,-10.5,94.7
2017-02-22,6.83,15.5,-4.5,-10.1,93.5
2017-02-23,1.40,19.8,-6.1,-10.9,77.8
2017-02-24,0.00,0,-6.3,-9.3,78.1
2017-02-25,0.15,17.7,-5.7,-9.7,81.5
2017-02-26,0.64,16.1,-4.3,-8.5,91.0
2017-02-27,6.40,14.6,-2.7,-7.0,97.7
2017-02-28,9.81,12.0,-1.2,-4.7,99.2
2017-03-01,1.84,11.5,-2.8,-4.9,98.7
2017-03-02,0.00,0,-4.2,-7.2,96.4
2017-03-03,5.65,17.8,-7.2,-9.1,94.3
2017-03-04,2.41,18.7,-7.7,-11.1,92.8
2017-03-05,0.97,20.2,-8.6,-14.5,91.2
2017-03-06,1.08,21.8,-9.0,-13.7,90.8
2017-03-07,5.25,21.9,-11.2,-13.6,90.1
2017-03-08,0.58,20.2,-6.1,-11.4,93.0
2017-03-09,0.00,0,-2.1,-6.9,92.7
2017-03-10,0.00,0,-2.1,-6.2,80.4
2017-03-11,0.00,0,0.5,-5.8,71.5
2017-03-12,0.00,0,4.6,-2.0,82.0
2017-03-13,0.00,0,1.7,-2.4,87.8
2017-03-14,0.70,9.5,2.3,-3.2,81.6
2017-03-15,0.00,0,-0.1,-4.3,74.3
2017-03-16,0.95,10.1,1.8,-4.7,78.3
2017-03-17,0.78,10.1,0.0,-5.6,76.6
2017-03-18,0.00,0,-3.1,-9.1,70.3
2017-03-19,0.69,14.2,-2.4,-8.4,71.3
