date,snowfall_cm,slr,temp_max,temp_min,humidity_avg
2021-11-01,-1,-1,4.9,0.9,99.0
2021-11-02,-1,-1,4.2,2.2,99.0
2021-11-03,-1,-1,2.1,0.8,99.0
2021-11-04,-1,-1,1.8,-1.1,98.7
2021-11-05,0.00,0,0.4,-2.4,87.7
2021-11-06,0.00,0,0.8,-4.0,82.8
2021-11-07,0.67,14.1,-4.1,-8.0,94.8
2021-11-08,7.15,12.4,-3.2,-9.2,93.5
2021-11-09,0.88,10.2,0.4,-2.0,96.7
2021-11-10,0.00,0,1.3,-1.5,77.2
2021-11-11,0.00,0,0.2,-1.3,83.3
2021-11-12,0.00,0,-1.6,-4.7,81.2
2021-11-13,0.00,0,-0.9,-6.2,86.6
2021-11-14,0.00,0,-0.4,-5.1,80.4
2021-11-15,0.00,0,0.4,-4.3,88.4
2021-11-16,0.00,0,2.5,-0.4,95.0
2021-11-17,0.91,8.6,1.4,-3.6,92.9
2021-11-18,0.09,10.3,-0.9,-3.9,84.5
2021-11-19,0.29,9.7,2.9,-1.9,84.0
2021-11-20,0.00,0,-0.5,-4.1,84.8
2021-11-21,0.00,0,-4.4,-7.5,84.2
2021-11-22,1.02,13.5,-1.5,-5.0,83.0
2021-11-23,1.08,10.9,2.2,-2.8,85.3
2021-11-24,1.88,9.7,2.8,-4.0,89.3
2021-11-25,0.00,0,-4.2,-9.2,79.5
2021-11-26,0.00,0,-8.3,-11.8,87.6
2021-11-27,0.00,0,-9.1,-12.6,88.5
2021-11-28,0.00,0,-8.9,-11.8,86.5
2021-11-29,0.00,0,-10.1,-14.3,76.0
2021-11-30,1.16,23.8,-9.5,-15.6,88.2
2021-12-01,0.00,0,-6.9,-13.0,87.4
2021-12-02,0.96,26.4,-12.0,-15.2,87.1
2021-12-03,1.93,24.6,-10.5,-15.1,88.6
2021-12-04,3.16,21.5,-9.8,-15.0,88.8
2021-12-05,0.00,0,-14.6,-16.5,85.6
2021-12-06,0.52,29.4,-16.0,-17.8,84.8
2021-12-07,0.00,0,-11.2,-15.4,87.0
2021-12-08,2.23,20.4,-7.2,-12.4,90.4
2021-12-09,1.06,15.9,-6.0,-7.7,93.4
2021-12-10,12.12,13.7,-3.9,-6.4,95.2
2021-12-11,6.75,12.5,-3.5,-3.9,96.0
2021-12-12,0.19,13.0,-2.9,-4.2,96.0
2021-12-13,0.00,0,-1.2,-3.8,93.1
2021-12-14,0.06,11.3,-1.4,-6.2,83.3
2021-12-15,0.03,9.2,-0.2,-2.1,90.8
2021-12-16,0.28,8.6,0.0,-0.9,86.7
2021-12-17,0.00,0,4.6,0.3,88.9
2021-12-18,0.31,8.5,4.6,-3.4,80.6
2021-12-19,1.32,12.8,-1.2,-5.2,85.3
2021-12-20,0.87,18.2,-5.8,-9.9,92.2
2021-12-21,0.76,21.3,-9.3,-11.4,90.3
2021-12-22,0.32,19.3,-5.5,-9.2,91.8
2021-12-23,4.36,19.5,-4.8,-16.6,84.8
2021-12-24,0.45,21.1,-6.5,-14.6,82.5
2021-12-25,0.21,16.7,-6.2,-8.2,83.8
2021-12-26,0.00,0,-5.8,-8.1,89.8
2021-12-27,0.00,0,-5.5,-11.8,77.3
2021-12-28,0.17,21.2,-5.2,-11.9,88.0
2021-12-29,0.00,0,-1.8,-5.0,68.8
2021-12-30,1.67,16.2,-2.7,-7.6,88.3
2021-12-31,0.69,17.9,-2.0,-9.2,83.6
2022-01-01,5.68,16.7,-5.5,-10.4,92.5
2022-01-02,1.86,12.5,-1.5,-4.6,89.6
2022-01-03,15.48,17.1,-1.1,-8.3,91.0
2022-01-04,0.81,23.0,-6.7,-12.7,91.1
2022-01-05,1.43,21.9,-9.2,-12.2,90.3
2022-01-06,0.00,0,-9.0,-13.0,87.6
2022-01-07,5.84,23.2,-10.6,-12.9,86.7
2022-01-08,0.51,18.6,-8.6,-10.2,91.4
2022-01-09,0.18,18.3,-8.2,-9.6,91.8
2022-01-10,0.24,14.3,-4.0,-9.6,93.1
