date,snowfall_cm,slr,temp_max,temp_min,humidity_avg
2020-11-01,-1,-1,5.4,3.3,90.0
2020-11-02,-1,-1,8.6,0.9,90.0
2020-11-03,0.00,0,3.9,-0.5,90.0
2020-11-04,0.00,0,3.9,-0.2,90.0
2020-11-05,-1,-1,8.0,4.1,90.0
2020-11-06,0.00,0,8.8,2.1,90.0
2020-11-07,0.00,0,6.9,-0.7,90.0
2020-11-08,0.00,0,1.4,-0.9,90.0
2020-11-09,0.00,0,5.0,-0.6,90.0
2020-11-10,0.00,0,6.5,2.4,90.0
2020-11-11,0.00,0,4.5,-1.4,90.0
2020-11-12,0.08,10.0,0.3,-1.9,99.0
2020-11-13,1.30,8.0,0.8,-2.0,98.6
2020-11-14,-1,-1,2.1,0.3,99.0
2020-11-15,0.00,0,5.0,1.7,99.0
2020-11-16,-1,-1,5.2,2.1,98.8
2020-11-17,-1,-1,2.5,0.6,95.6
2020-11-18,-1,-1,6.9,-4.7,98.4
2020-11-19,0.59,15.1,-3.5,-8.1,92.4
2020-11-20,3.24,13.5,-3.5,-6.4,87.2
2020-11-21,0.00,0,0.9,-2.4,84.9
2020-11-22,0.00,0,0.7,-1.2,77.2
2020-11-23,0.14,9.1,-0.5,-3.3,83.6
2020-11-24,0.65,8.8,1.2,-2.5,90.0
2020-11-25,-1,-1,3.8,-1.7,85.6
2020-11-26,0.00,0,-0.1,-2.0,87.2
2020-11-27,0.00,0,-0.9,-3.3,89.0
2020-11-28,0.00,0,-0.3,-4.7,72.7
2020-11-29,0.00,0,-0.5,-5.2,86.0
2020-11-30,1.53,9.9,-1.0,-4.4,90.0
2020-12-01,0.00,0,-2.0,-6.0,88.2
2020-12-02,0.65,11.4,-2.3,-5.8,98.0
2020-12-03,2.13,12.0,-3.3,-4.6,98.4
2020-12-04,3.45,10.9,-2.0,-3.2,99.0
2020-12-05,0.20,10.1,-1.7,-2.8,99.0
2020-12-06,1.30,8.7,-0.4,-1.7,99.0
2020-12-07,2.28,9.4,-0.7,-2.4,99.0
2020-12-08,0.65,11.9,-2.1,-4.7,98.8
2020-12-09,0.40,10.8,-2.2,-4.1,99.0
2020-12-10,0.71,11.3,-2.8,-5.2,98.4
2020-12-11,1.79,15.1,-5.0,-6.7,96.6
2020-12-12,2.83,12.6,-2.9,-6.0,98.3
2020-12-13,1.09,10.6,-1.6,-2.9,99.0
2020-12-14,4.68,13.0,-2.0,-5.1,98.4
2020-12-15,4.00,9.0,-0.3,-3.3,99.0
2020-12-16,0.00,0,-0.8,-3.8,97.9
2020-12-17,11.47,12.0,-2.9,-4.9,98.5
2020-12-18,0.00,0,0.6,-6.3,98.3
2020-12-19,0.00,0,3.2,0.4,98.5
2020-12-20,0.00,0,1.9,0.4,95.0
2020-12-21,0.00,0,0.3,-2.4,92.4
2020-12-22,3.81,10.2,-1.4,-4.1,98.3
2020-12-23,0.22,10.2,-1.4,-3.9,90.2
2020-12-24,4.82,13.7,-2.8,-6.5,90.2
2020-12-25,0.41,16.0,-6.7,-10.4,93.6
2020-12-26,5.27,14.1,-3.8,-8.8,96.0
2020-12-27,6.61,10.7,-1.6,-3.6,99.0
2020-12-28,14.29,11.5,-2.2,-3.8,99.0
2020-12-29,9.79,11.1,-2.1,-4.2,98.9
2020-12-30,9.45,15.1,-4.5,-6.9,96.7
2020-12-31,20.82,16.2,-5.4,-7.2,95.6
2021-01-01,2.17,12.7,-3.8,-5.1,98.0
2021-01-02,0.26,13.0,-4.0,-8.6,96.7
2021-01-03,0.00,0,-6.8,-9.3,94.2
2021-01-04,0.00,0,-6.3,-8.8,95.3
2021-01-05,0.00,0,-7.5,-11.0,93.4
2021-01-06,0.40,20.7,-8.6,-13.7,91.8
2021-01-07,1.01,20.3,-9.4,-10.3,92.3
2021-01-08,0.00,0,-7.7,-10.3,93.1
2021-01-09,1.52,18.8,-8.1,-10.5,93.0
2021-01-10,0.17,17.5,-7.0,-11.0,93.3
2021-01-11,15.83,21.1,-7.4,-12.7,91.7
2021-01-12,1.44,21.9,-7.8,-14.9,90.0
2021-01-13,1.74,25.8,-11.4,-17.2,86.2
2021-01-14,0.00,0,-10.4,-16.2,88.6
2021-01-15,0.00,0,-6.3,-10.7,94.0
2021-01-16,0.00,0,-6.0,-10.2,93.9
2021-01-17,0.00,0,-5.6,-10.8,87.5
2021-01-18,0.00,0,-4.2,-8.0,93.0
2021-01-19,1.09,19.0,-6.2,-9.6,94.3
2021-01-20,24.29,17.1,-6.8,-9.7,94.6
