date,snowfall_cm,slr,temp_max,temp_min,humidity_avg
2023-11-01,5.74,16.7,-7.0,-7.8,93.3
2023-11-02,12.33,15.6,-4.9,-7.8,94.0
2023-11-03,21.58,14.1,-4.8,-5.3,95.1
2023-11-04,14.76,13.1,-2.7,-5.5,96.5
2023-11-05,0.00,0,0.0,-2.6,98.8
2023-11-06,0.00,0,0.0,-2.6,98.5
2023-11-07,0.10,9.9,-1.2,-3.5,97.8
2023-11-08,0.27,10.0,-1.6,-2.1,99.0
2023-11-09,13.24,10.9,-2.0,-3.4,97.9
2023-11-10,17.68,14.1,-3.6,-6.3,95.7
2023-11-11,7.11,16.7,-6.3,-8.3,93.4
2023-11-12,3.60,17.7,-7.6,-8.3,93.0
2023-11-13,6.33,18.4,-8.2,-10.3,92.0
2023-11-14,0.18,22.1,-9.9,-11.7,90.3
2023-11-15,0.20,20.0,-9.8,-16.1,88.0
2023-11-16,0.00,0,-8.2,-15.1,90.0
2023-11-17,0.00,0,-8.5,-12.1,90.9
2023-11-18,0.00,0,-5.7,-9.7,91.7
2023-11-19,0.00,0,-7.6,-10.7,88.8
2023-11-20,0.00,0,-8.5,-19.5,87.1
2023-11-21,0.00,0,-6.8,-8.7,93.1
2023-11-22,4.30,12.8,-2.4,-6.3,96.8
2023-11-23,0.27,11.4,-2.9,-7.9,92.8
2023-11-24,2.47,14.9,-4.1,-13.8,92.5
2023-11-25,0.00,0,-8.4,-13.8,86.4
2023-11-26,0.32,17.3,-7.5,-10.1,92.6
2023-11-27,3.96,24.8,-10.4,-16.9,86.9
2023-11-28,9.25,21.0,-8.7,-16.2,90.2
2023-11-29,8.35,19.3,-8.7,-10.6,91.6
2023-11-30,1.18,21.9,-10.7,-13.0,89.3
2023-12-01,0.43,25.3,-13.5,-16.4,86.6
2023-12-02,0.70,27.0,-14.9,-16.4,85.9
2023-12-03,0.24,24.6,-10.9,-15.3,88.1
2023-12-04,0.00,0,-11.1,-14.7,88.5
2023-12-05,0.00,0,-9.8,-12.7,90.3
2023-12-06,0.00,0,-10.2,-14.5,88.7
2023-12-07,0.19,18.9,-8.2,-12.3,91.3
2023-12-08,2.60,16.6,-6.4,-8.9,93.4
2023-12-09,9.24,15.4,-5.8,-7.2,94.2
2023-12-10,1.05,16.3,-6.8,-8.2,93.4
2023-12-11,0.00,0,-6.7,-8.5,93.2
2023-12-12,0.19,19.3,-8.5,-11.3,90.8
2023-12-13,0.00,0,-11.9,-17.2,87.4
2023-12-14,0.00,0,-4.6,-12.9,90.3
2023-12-15,0.13,9.6,-1.4,-4.6,94.5
2023-12-16,0.15,8.4,0.8,-3.8,89.5
2023-12-17,0.00,0,0.0,-3.5,84.7
2023-12-18,0.56,10.9,0.0,-2.9,84.0
2023-12-19,0.15,12.6,-2.6,-8.3,85.0
2023-12-20,0.00,0,-6.5,-9.6,86.5
2023-12-21,1.29,17.5,-7.4,-10.3,92.4
2023-12-22,3.06,18.5,-7.9,-10.2,92.0
2023-12-23,0.51,21.2,-10.3,-11.3,90.1
2023-12-24,1.84,20.9,-10.1,-11.4,90.3
2023-12-25,4.51,20.5,-7.7,-11.1,91.8
2023-12-26,0.00,0,-4.6,-8.9,92.8
2023-12-27,0.00,0,-7.1,-9.8,82.8
2023-12-28,4.58,20.0,-7.7,-10.4,91.5
2023-12-29,0.00,0,-7.5,-9.1,92.7
2023-12-30,0.00,0,-9.6,-10.5,91.0
2023-12-31,4.54,23.0,-10.4,-12.3,89.4
2024-01-01,3.87,25.1,-12.0,-15.9,87.3
2024-01-02,3.86,28.0,-15.6,-16.9,85.6
2024-01-03,3.70,28.5,-16.3,-17.7,84.9
2024-01-04,0.26,30.0,-15.6,-20.2,83.8
2024-01-05,0.00,0,-7.3,-15.4,89.2
2024-01-06,0.48,16.7,-6.7,-12.1,92.1
2024-01-07,0.08,12.1,-2.3,-11.2,88.0
2024-01-08,0.00,0,0.3,-2.5,86.5
2024-01-09,0.00,0,1.2,-1.6,81.6
2024-01-10,0.00,0,1.7,-2.0,81.5
2024-01-11,0.79,10.6,-0.6,-2.4,85.1
2024-01-12,0.44,12.1,0.2,-3.5,84.1
2024-01-13,2.26,11.3,-1.5,-6.5,93.7
2024-01-14,6.66,19.2,-5.8,-16.0,88.9
2024-01-15,0.50,26.6,-14.7,-18.3,81.1
2024-01-16,1.45,25.4,-11.2,-15.8,68.8
2024-01-17,7.45,29.2,-13.6,-18.7,85.3
2024-01-18,0.37,25.8,-13.8,-19.2,84.3
2024-01-19,0.00,0,-12.4,-17.6,87.4
2024-01-20,0.12,19.7,-3.0,-12.5,79.1
2024-01-21,3.10,12.8,-3.3,-5.2,95.0
2024-01-22,1.81,10.4,0.9,-3.1,91.7
2024-01-23,2.35,13.0,-0.5,-4.9,88.5
2024-01-24,7.08,13.2,-3.5,-5.3,96.3
2024-01-25,0.36,12.0,-2.6,-6.1,95.9
2024-01-26,10.88,14.5,-3.7,-5.9,94.7
2024-01-27,0.00,0,-0.7,-4.5,87.5
2024-01-28,0.00,0,0.6,-1.3,88.9
2024-01-29,0.00,0,0.9,-3.3,62.3
2024-01-30,0.00,0,-0.2,-5.1,49.8
2024-01-31,2.21,14.0,-0.2,-5.7,72.3
2024-02-01,2.32,15.1,-4.5,-7.2,85.9
2024-02-02,2.91,12.2,1.8,-5.9,88.7
2024-02-03,3.41,15.1,-2.2,-6.9,83.4
2024-02-04,0.00,0,-5.6,-9.2,77.1
2024-02-05,0.00,0,-6.9,-9.0,85.2
2024-02-06,0.43,22.2,-9.4,-14.6,89.3
2024-02-07,0.00,0,-10.3,-14.1,75.5
2024-02-08,0.00,0,-7.5,-12.5,48.5
2024-02-09,0.23,27.9,-9.0,-16.4,72.2
2024-02-10,0.80,24.5,-12.7,-15.5,86.8
2024-02-11,0.41,23.1,-11.3,-12.7,88.8
2024-02-12,8.39,25.2,-11.8,-14.4,87.7
2024-02-13,16.62,23.1,-9.4,-13.7,89.8
2024-02-14,0.00,0,-5.3,-10.9,91.8
2024-02-15,6.99,13.9,-0.2,-9.1,88.2
2024-02-16,5.36,13.0,-2.9,-5.6,95.0
2024-02-17,0.00,0,-5.4,-8.3,77.6
2024-02-18,0.00,0,-4.5,-7.7,89.0
2024-02-19,0.00,0,-1.4,-6.4,89.6
2024-02-20,1.55,8.7,1.1,-1.1,87.3
2024-02-21,0.35,10.8,-0.5,-3.8,94.2
2024-02-22,0.00,0,-0.8,-3.6,98.7
2024-02-23,6.71,10.0,-1.2,-2.5,98.4
2024-02-24,0.17,9.7,-0.8,-3.2,97.4
2024-02-25,0.38,10.4,-1.0,-5.8,93.6
2024-02-26,0.00,0,-1.1,-5.7,84.9
2024-02-27,0.06,13.7,-2.1,-6.7,86.0
2024-02-28,0.00,0,0.1,-2.7,85.4
2024-02-29,0.18,8.7,0.0,-1.7,98.0
2024-03-01,0.08,9.5,0.0,-2.0,98.8
2024-03-02,0.26,9.0,-0.3,-2.2,98.9
2024-03-03,2.03,10.1,-0.1,-2.0,98.9
2024-03-04,0.85,12.4,-1.9,-4.1,97.5
2024-03-05,0.12,12.3,-3.3,-9.5,95.1
2024-03-06,0.00,0,2.4,-6.1,52.8
2024-03-07,0.00,0,1.5,-3.3,66.8
2024-03-08,0.97,14.0,-2.4,-6.5,93.8
2024-03-09,0.16,18.5,-5.7,-9.8,92.9
2024-03-10,0.16,19.5,-8.1,-9.9,91.8
2024-03-11,0.00,0,-3.2,-10.0,81.7
2024-03-12,0.00,0,1.3,-2.7,56.5
2024-03-13,3.41,10.6,2.0,-2.8,81.3
2024-03-14,0.00,0,3.6,-1.8,70.9
2024-03-15,4.18,10.4,2.2,-5.9,85.7
2024-03-16,0.00,0,-5.1,-10.8,77.2
2024-03-17,0.00,0,-4.5,-10.4,61.0
2024-03-18,0.00,0,-1.1,-6.2,36.6
2024-03-19,0.00,0,3.2,-3.8,62.8
2024-03-20,0.23,9.6,1.7,-3.2,81.4
2024-03-21,0.59,9.8,2.3,-3.1,79.3
2024-03-22,0.00,0,3.0,-4.1,76.6
2024-03-23,8.20,11.4,-1.7,-4.4,96.6
2024-03-24,1.20,13.2,-1.3,-8.5,91.8
2024-03-25,1.03,15.8,-5.1,-9.6,90.5
2024-03-26,6.93,14.8,-4.0,-8.1,94.8
2024-03-27,2.38,12.3,-0.9,-4.9,98.2
2024-03-28,7.16,9.4,2.2,-1.7,99.0
2024-03-29,7.98,10.0,-0.5,-2.1,98.6
2024-03-30,0.00,0,6.3,-0.7,84.8
2024-03-31,9.47,8.4,1.2,-2.2,98.5
2024-04-01,0.24,9.9,0.1,-7.3,91.3
2024-04-02,0.00,0,-5.1,-14.5,76.9
2024-04-03,0.00,0,-8.6,-13.7,49.6
2024-04-04,10.17,19.9,-6.6,-10.4,74.8
2024-04-05,4.44,16.5,-5.6,-8.8,94.0
2024-04-06,1.77,9.2,0.3,-5.4,97.8
2024-04-07,-1,-1,4.9,1.1,88.5
2024-04-08,-1,-1,7.1,1.0,72.9
2024-04-09,-1,-1,8.1,2.2,76.1
2024-04-10,-1,-1,4.3,-1.5,85.2
2024-04-11,-1,-1,3.7,-0.4,82.0
2024-04-12,0.00,0,7.0,2.2,66.6
2024-04-13,0.00,0,7.4,0.3,63.0
2024-04-14,0.00,0,3.3,-4.9,75.9
2024-04-15,0.82,12.6,0.8,-4.2,64.3
2024-04-16,2.11,11.4,0.6,-4.5,75.0
2024-04-17,3.01,13.5,-1.9,-6.5,85.5
2024-04-18,0.14,14.5,-1.7,-8.2,75.7
2024-04-19,0.00,0,-1.5,-9.1,61.5
2024-04-20,0.00,0,-0.4,-8.0,43.3
2024-04-21,0.00,0,-1.4,-10.0,48.3
2024-04-22,0.00,0,-1.1,-6.4,49.9
2024-04-23,0.00,0,0.7,-3.1,76.8
2024-04-24,0.97,11.4,1.0,-3.1,75.4
2024-04-25,2.92,11.1,0.0,-4.9,91.6
2024-04-26,2.32,10.7,0.5,-3.6,84.3
2024-04-27,0.67,9.5,1.2,-2.0,84.9
2024-04-28,1.04,8.9,4.7,-1.9,80.2
2024-04-29,1.54,9.3,3.8,-1.3,91.1
2024-04-30,0.00,0,9.5,3.9,62.9
