date,snowfall_cm,slr,temp_max,temp_min,humidity_avg
2018-11-01,1.97,8.4,1.8,-0.8,94.2
2018-11-02,1.90,8.1,1.8,-2.6,96.5
2018-11-03,0.00,0,2.8,-2.4,89.1
2018-11-04,-1,-1,4.0,1.3,86.9
2018-11-05,0.00,0,3.5,0.6,90.0
2018-11-06,0.00,0,3.7,1.4,99.1
2018-11-07,0.00,0,1.4,0.7,100.0
2018-11-08,0.00,0,2.5,1.2,100.0
2018-11-09,0.40,8.2,5.2,-0.5,96.7
2018-11-10,-1,-1,2.1,-0.1,100.0
2018-11-11,-1,-1,3.2,1.6,100.0
2018-11-12,-1,-1,3.9,1.0,99.3
2018-11-13,0.00,0,0.7,-0.8,97.6
2018-11-14,0.00,0,3.5,-2.0,87.3
2018-11-15,0.00,0,5.5,2.6,95.5
2018-11-16,0.00,0,4.5,1.7,90.2
2018-11-17,0.00,0,4.7,-1.7,88.7
2018-11-18,0.00,0,-0.6,-2.6,87.7
2018-11-19,0.00,0,3.8,-0.7,27.3
2018-11-20,0.00,0,-1.4,-5.5,96.8
2018-11-21,0.00,0,4.9,-5.5,36.0
2018-11-22,0.00,0,3.6,-2.9,24.1
2018-11-23,0.00,0,-0.8,-3.4,79.2
2018-11-24,0.00,0,-2.6,-4.3,83.0
2018-11-25,0.00,0,-2.0,-4.1,80.0
2018-11-26,0.00,0,-2.7,-7.3,85.4
2018-11-27,0.00,0,-5.8,-7.9,83.3
2018-11-28,0.00,0,-4.9,-8.9,80.1
2018-11-29,0.08,10.7,-0.8,-4.6,96.7
2018-11-30,0.58,8.1,0.4,-0.5,100.0
2018-12-01,1.60,8.4,-0.1,-1.5,100.0
2018-12-02,3.75,9.8,-1.4,-2.0,99.9
2018-12-03,9.50,9.3,-0.6,-2.3,100.0
2018-12-04,1.29,10.0,-1.7,-6.6,92.0
2018-12-05,0.00,0,-5.0,-7.3,82.0
2018-12-06,0.00,0,-6.0,-8.1,89.8
2018-12-07,2.21,13.8,-4.6,-6.0,97.0
2018-12-08,21.28,12.7,-3.2,-5.5,98.0
2018-12-09,6.16,13.9,-4.0,-6.2,97.0
2018-12-10,4.73,12.0,-3.2,-3.9,98.7
2018-12-11,0.23,12.8,-3.7,-7.8,97.3
2018-12-12,0.00,0,-6.4,-8.3,95.1
2018-12-13,0.00,0,-5.3,-6.9,95.8
2018-12-14,0.00,0,-4.2,-8.2,67.8
2018-12-15,0.00,0,-8.0,-10.3,90.5
2018-12-16,4.39,17.5,-6.5,-8.2,95.0
2018-12-17,5.53,18.5,-8.1,-11.2,93.1
2018-12-18,0.40,20.2,-8.1,-12.2,92.1
2018-12-19,6.34,14.7,-4.5,-8.5,95.6
2018-12-20,4.48,12.7,-3.7,-7.3,96.6
2018-12-21,1.30,16.6,-6.7,-9.6,94.1
2018-12-22,1.23,20.7,-9.5,-13.9,90.9
2018-12-23,0.00,0,-6.1,-15.0,91.8
2018-12-24,0.80,11.2,-0.5,-5.5,98.1
2018-12-25,0.00,0,1.4,-1.5,89.3
2018-12-26,0.06,7.8,1.9,-1.4,89.4
2018-12-27,0.00,0,0.7,-0.9,91.3
2018-12-28,0.07,11.4,0.1,-2.6,87.4
2018-12-29,0.62,11.4,-1.7,-3.8,86.8
2018-12-30,0.27,15.2,-3.5,-6.3,87.2
2018-12-31,2.14,10.3,-0.5,-5.4,95.7
2019-01-01,0.87,11.8,-1.6,-7.5,85.3
2019-01-02,0.58,11.8,-3.1,-6.9,88.4
