date,snowfall_cm,slr,temp_max,temp_min,humidity_avg,accumulated_snowfall_cm
2017-11-01,-1,-1,4.9,1.3,95.0,0.00
2017-11-02,0.00,0,1.4,-3.3,83.6,0.00
2017-11-03,0.00,0,3.4,-1.6,69.4,0.00
2017-11-04,0.45,7.8,3.8,-1.3,78.0,0.45
2017-11-05,-1,-1,1.2,-2.5,99.8,0.45
2017-11-06,0.07,10.3,-1.8,-5.9,85.0,0.52
2017-11-07,0.00,0,0.2,-2.9,84.0,0.52
2017-11-08,0.17,8.1,1.1,-0.4,95.1,0.69
2017-11-09,1.81,7.6,1.5,-3.6,88.8,2.50
2017-11-10,0.00,0,-1.5,-4.8,72.7,2.50
2017-11-11,0.00,0,-2.0,-8.9,64.3,2.50
2017-11-12,0.00,0,-1.8,-6.4,93.5,2.50
2017-11-13,0.00,0,-2.2,-7.4,82.8,2.50
2017-11-14,0.00,0,-1.5,-6.5,83.7,2.50
2017-11-15,0.00,0,-1.3,-4.1,83.0,2.50
2017-11-16,0.00,0,-0.8,-4.0,89.8,2.50
2017-11-17,0.00,0,-2.6,-5.0,81.6,2.50
2017-11-18,0.00,0,-2.7,-8.3,90.9,2.50
2017-11-19,0.00,0,-7.5,-10.1,93.3,2.50
2017-11-20,0.00,0,-10.2,-13.1,90.7,2.50
2017-11-21,0.00,0,-11.5,-14.0,90.0,2.50
2017-11-22,4.73,17.4,-3.2,-12.2,94.8,7.23
2017-11-23,0.00,0,2.6,-2.6,99.6,7.23
2017-11-24,0.00,0,-1.8,-6.1,91.1,7.23
2017-11-25,0.00,0,-3.6,-5.5,89.5,7.23
2017-11-26,0.00,0,-2.6,-5.2,97.0,7.23
2017-11-27,0.00,0,-5.1,-9.2,92.1,7.23
2017-11-28,0.00,0,-7.7,-11.4,93.4,7.23
2017-11-29,2.02,18.8,-7.8,-9.5,93.5,9.25
2017-11-30,0.41,17.8,-7.0,-8.3,94.3,9.66
2017-12-01,0.19,15.2,-2.5,-8.7,95.4,9.85
2017-12-02,1.46,9.1,-0.5,-3.6,95.8,11.31
2017-12-03,0.00,0,-2.1,-4.5,81.8,11.31
2017-12-04,0.00,0,-4.5,-6.4,89.0,11.31
2017-12-05,0.00,0,-3.9,-5.6,85.1,11.31
2017-12-06,0.00,0,-4.6,-6.6,88.0,11.31
2017-12-07,-1,-1,1.7,-6.5,97.9,11.31
2017-12-08,0.38,9.8,-1.7,-5.5,98.2,11.69
2017-12-09,2.79,12.6,-3.9,-7.1,94.5,14.48
2017-12-10,0.65,16.6,-6.9,-9.0,93.8,15.13
2017-12-11,0.00,0,-7.0,-9.2,94.2,15.13
2017-12-12,0.00,0,-8.3,-10.9,89.8,15.13
2017-12-13,0.00,0,-3.8,-9.0,86.6,15.13
2017-12-14,0.00,0,-3.9,-7.6,96.4,15.13
2017-12-15,0.61,18.0,-7.4,-9.6,94.1,15.74
2017-12-16,0.00,0,-6.0,-10.1,93.8,15.74
2017-12-17,0.72,14.8,-4.3,-8.5,89.1,16.46
2017-12-18,0.00,0,-2.5,-3.9,87.8,16.46
2017-12-19,-1,-1,6.0,-2.8,85.6,16.46
2017-12-20,0.00,0,4.7,-3.2,85.1,16.46
2017-12-21,0.00,0,-2.6,-4.5,79.1,16.46
2017-12-22,0.00,0,-0.6,-5.4,88.8,16.46
2017-12-23,0.00,0,0.8,-5.8,82.9,16.46
2017-12-24,1.22,14.0,-4.7,-6.7,92.3,17.68
2017-12-25,0.00,0,-3.0,-8.0,94.5,17.68
2017-12-26,29.62,22.6,-8.2,-13.7,91.4,47.30
2017-12-27,8.72,20.0,-8.5,-11.6,91.8,56.02
2017-12-28,18.58,17.3,-5.7,-9.5,94.4,74.60
2017-12-29,13.45,17.9,-4.9,-9.2,94.5,88.05
2017-12-30,0.67,17.5,-7.5,-10.6,93.0,88.72
2017-12-31,3.90,13.8,-4.3,-9.9,95.5,92.62
2018-01-01,0.00,0,-1.8,-4.1,99.0,92.62
2018-01-02,0.00,0,-2.7,-8.8,95.9,92.62
2018-01-03,0.00,0,-6.3,-9.8,93.6,92.62
2018-01-04,0.00,0,-9.2,-10.2,92.6,92.62
2018-01-05,0.00,0,-8.9,-10.0,92.5,92.62
2018-01-06,0.00,0,-9.2,-11.3,91.7,92.62
2018-01-07,0.00,0,-6.3,-10.6,89.9,92.62
2018-01-08,0.00,0,-0.3,-6.6,67.6,92.62
2018-01-09,0.00,0,2.0,-1.8,24.8,92.62
2018-01-10,0.00,0,0.3,-3.8,36.6,92.62
2018-01-11,0.00,0,0.6,-1.9,24.2,92.62
2018-01-12,0.00,0,-0.6,-4.8,66.6,92.62
2018-01-13,0.00,0,-3.0,-13.0,73.2,92.62
2018-01-14,0.00,0,-8.5,-10.4,91.3,92.62
2018-01-15,0.00,0,-6.1,-9.8,93.5,92.62
2018-01-16,0.00,0,-5.1,-6.3,96.0,92.62
2018-01-17,0.00,0,-6.7,-11.7,93.0,92.62
2018-01-18,0.00,0,-10.3,-12.9,90.5,92.62
2018-01-19,0.00,0,-7.5,-10.3,93.3,92.62
2018-01-20,0.00,0,-6.4,-10.9,93.3,92.62
2018-01-21,0.00,0,-9.6,-14.9,91.1,92.62
2018-01-22,0.00,0,-9.3,-14.8,90.6,92.62
2018-01-23,0.00,0,-3.9,-11.6,94.9,92.62
2018-01-24,0.00,0,-0.8,-4.0,99.1,92.62
2018-01-25,0.00,0,-1.3,-6.2,97.5,92.62
2018-01-26,0.00,0,-5.2,-7.1,87.1,92.62
2018-01-27,0.00,0,-4.4,-9.9,90.2,92.62
2018-01-28,0.00,0,-4.6,-8.3,96.3,92.62
2018-01-29,0.00,0,-5.6,-7.5,95.6,92.62
2018-01-30,0.00,0,-4.4,-9.7,93.2,92.62
2018-01-31,0.00,0,-4.2,-10.2,95.3,92.62
2018-02-01,0.00,0,-5.6,-17.2,90.5,92.62
2018-02-02,0.00,0,-16.5,-17.6,86.0,92.62
2018-02-03,0.00,0,-14.7,-17.4,86.8,92.62
2018-02-04,0.00,0,-4.2,-15.7,92.2,92.62
2018-02-05,0.00,0,-2.1,-7.6,97.9,92.62
2018-02-06,0.00,0,-8.3,-15.9,89.7,92.62
2018-02-07,0.00,0,-5.8,-12.9,93.9,92.62
2018-02-08,0.00,0,-3.7,-9.4,93.6,92.62
2018-02-09,0.00,0,-3.5,-8.3,95.6,92.62
2018-02-10,0.00,0,-6.9,-7.8,94.6,92.62
2018-02-11,0.00,0,-7.2,-9.2,93.7,92.62
2018-02-12,0.00,0,-6.3,-8.6,95.0,92.62
2018-02-13,0.00,0,-6.3,-10.0,93.6,92.62
2018-02-14,0.00,0,-3.4,-7.0,90.3,92.62
2018-02-15,0.00,0,-6.5,-8.0,93.3,92.62
2018-02-16,0.00,0,-6.1,-8.3,94.9,92.62
2018-02-17,0.00,0,-2.7,-9.1,91.1,92.62
2018-02-18,0.00,0,-8.1,-10.0,94.2,92.62
2018-02-19,0.00,0,-8.0,-12.2,91.5,92.62
2018-02-20,0.00,0,-8.9,-12.3,90.4,92.62
2018-02-21,0.00,0,-6.0,-11.9,92.5,92.62
2018-02-22,0.00,0,-2.5,-9.3,94.5,92.62
2018-02-23,0.00,0,-9.3,-13.2,90.8,92.62
2018-02-24,0.00,0,-9.8,-19.5,88.5,92.62
2018-02-25,0.00,0,-9.4,-18.1,85.0,92.62
2018-02-26,0.00,0,-13.4,-17.0,87.3,92.62
2018-02-27,0.00,0,-15.8,-22.1,83.3,92.62
2018-02-28,0.00,0,-10.0,-22.4,73.7,92.62
2018-03-01,0.00,0,-6.8,-15.6,51.3,92.62
2018-03-02,0.00,0,-7.7,-12.9,64.6,92.62
2018-03-03,0.00,0,-8.4,-12.2,87.3,92.62
2018-03-04,0.00,0,-8.2,-13.9,87.9,92.62
2018-03-05,0.00,0,-10.9,-14.0,89.8,92.62
2018-03-06,0.00,0,-7.6,-11.8,91.5,92.62
2018-03-07,0.00,0,-7.9,-9.7,93.8,92.62
2018-03-08,0.00,0,-6.4,-12.7,92.5,92.62
2018-03-09,0.00,0,-8.8,-12.8,91.0,92.62
2018-03-10,0.00,0,-2.1,-8.1,84.6,92.62
2018-03-11,0.00,0,-1.5,-8.3,88.4,92.62
2018-03-12,0.00,0,-4.9,-7.9,95.8,92.62
2018-03-13,0.00,0,-6.3,-9.7,94.2,92.62
2018-03-14,0.00,0,-6.7,-13.4,92.0,92.62
2018-03-15,0.00,0,-6.7,-16.5,84.0,92.62
2018-03-16,0.00,0,-8.4,-15.9,78.0,92.62
2018-03-17,0.00,0,-3.6,-13.4,52.9,92.62
2018-03-18,0.00,0,-2.2,-9.2,83.1,92.62
2018-03-19,0.00,0,-3.4,-7.6,79.0,92.62
2018-03-20,0.00,0,-3.6,-7.0,81.2,92.62
2018-03-21,0.00,0,-0.2,-4.2,83.8,92.62
2018-03-22,0.00,0,-1.7,-6.2,79.7,92.62
2018-03-23,0.00,0,0.5,-5.0,77.3,92.62
2018-03-24,0.00,0,2.3,-3.1,70.9,92.62
2018-03-25,0.00,0,1.5,-14.7,84.1,92.62
2018-03-26,0.00,0,-7.2,-13.7,65.9,92.62
2018-03-27,0.00,0,-5.9,-11.1,58.0,92.62
2018-03-28,0.00,0,-3.9,-9.8,32.8,92.62
2018-03-29,0.00,0,-2.6,-9.5,38.5,92.62
2018-03-30,0.00,0,-2.2,-9.3,34.7,92.62
2018-03-31,0.00,0,-2.4,-9.8,41.0,92.62
2018-04-01,0.00,0,-3.7,-9.7,60.9,92.62
2018-04-02,0.00,0,-3.8,-9.2,70.1,92.62
2018-04-03,0.00,0,-2.1,-7.0,71.9,92.62
2018-04-04,0.00,0,-0.6,-6.6,94.7,92.62
2018-04-05,0.00,0,-1.8,-4.3,97.8,92.62
2018-04-06,0.00,0,-1.9,-5.8,74.8,92.62
2018-04-07,0.00,0,0.1,-4.7,80.8,92.62
2018-04-08,0.00,0,1.6,-3.0,91.3,92.62
2018-04-09,0.00,0,-1.6,-7.9,63.3,92.62
2018-04-10,0.00,0,1.4,-4.6,43.1,92.62
2018-04-11,0.00,0,3.4,-2.5,50.5,92.62
2018-04-12,0.00,0,6.3,0.2,32.0,92.62
2018-04-13,0.00,0,6.2,0.1,35.8,92.62
2018-04-14,0.00,0,11.6,0.5,44.4,92.62
2018-04-15,0.00,0,6.8,0.5,43.7,92.62
2018-04-16,0.00,0,5.8,2.3,55.1,92.62
2018-04-17,0.00,0,10.1,2.4,55.0,92.62
2018-04-18,0.00,0,6.4,2.3,83.5,92.62
2018-04-19,0.00,0,8.1,5.3,70.5,92.62
2018-04-20,0.00,0,11.1,0.6,84.1,92.62
2018-04-21,0.00,0,3.4,-0.6,77.2,92.62
2018-04-22,0.00,0,6.3,1.2,63.0,92.62
2018-04-23,0.00,0,4.9,-0.7,89.5,92.62
2018-04-24,0.00,0,6.8,0.3,74.1,92.62
2018-04-25,0.00,0,3.3,-2.5,67.9,92.62
2018-04-26,0.00,0,4.2,-0.1,72.2,92.62
2018-04-27,0.00,0,4.8,-0.1,77.9,92.62
2018-04-28,0.00,0,5.6,-0.3,84.1,92.62
2018-04-29,0.00,0,2.7,-1.3,82.1,92.62
2018-04-30,0.00,0,3.9,-1.3,64.1,92.62
